  1x  "에는 거치는 돌 | 걸리는 반석이 되실 것"
  1x  "거민에게는 함정 | 올무가 되시리니"
  1x  "상의 모든 거민 | 지상에 거하는 너희여"
  1x  "서는 한 구원자 | 보호자를 보내사 그들을"
  1x  "가 다 벗은 몸 | 벗은 발로 볼기까지 드"
  1x  "하며 떠들던 성 | 즐거워하던 고을이여 너"
  1x  "불리 먹을 자료 | 잘 입을 자료가 되리라"
  1x  "여기서도 조금 | 저기서도 조금하는구나"
  1x  "여기서도 조금 | 저기서도 조금 하사 그"
  1x  "그 조각 중에서 | 아궁이에서 불을 취하거"
  1x  "범죄한 은우상 | 금우상을 그 날에는 각"
  1x  "며 희락의 성읍 | 기뻐하는 모든 집에 나"
  1x  "롭게 행하는 자 | 정직히 말하는자, 토색"
  1x  "증히 여기는 자 | 손을 흔들어 뇌물을 받"
  1x  "지 아니하는 자 | 귀를 막아 피 흘리려는"
  1x  "지 아니하는 자 | 눈을 감아 악을 보지"
  1x  "땅에 충만한 것 | 세계와 세계에서 나는"
  1x  "붙드는 나의 종 | 내 마음에 기뻐하는 나"
  1x  "너의 속량물로 | 구스와 스바를 너의 대"
  1x  "희는 나의 증인 | 나의 종으로 택함을 입"
  1x  "내어 내 백성 | 나의 택한 자로 마시게"
  1x  "나의 종 야곱 | 나의 택한 이스라엘아"
  1x  "나의 종 야곱 | 나의 택한 여수룬아 두"
  1x  "이르기를 아하 | 따뜻하다 내가 불을 보"
  1x  "나의 종 야곱 | 나의 택한 이스라엘을"
  1x  "스라엘의 구속자 | 이스라엘의 거룩한 자이"
  1x  "시를 당하는 자 | 백성에게 미움을 받는"
  1x  "자 | 관원들에게 종이 된 자"
  1x  "혹자는 원방에서 | 혹자는 북방과 서방에서"
  1x  " | 혹자는 시님 땅에서 오"
  1x  "팔이여 깨소서 | 깨소서, 능력을 베푸소"
  1x  "이 행하는 사람 | 이같이 굳이 잡는 인생"
  1x  "내가 내 집에서 | 내 성안에서 자녀보다"
  1x  "무녀의 자식 | 간음자와 음녀의 씨 너"
  1x  "는 패역의 자식 | 궤휼의 종류가 아니냐"
  1x  "너희 손이 피에 | 너희 손가락이 죄악에"
  1x  "허다한 약대 | 미디안과 에바의 젊은"
  1x  "와는 네 구원자 | 네 구속자, 야곱의 전"
  1x  "오직 | 너희는 여호와의 제사장"
  1x  "손을 열방 중에 | 그 후손을 만민 중에"
  1x  "아름다운 면류관 | 네 하나님의 손의 왕관"
  1x  "께서 그 오른손 | 그 능력의 팔로 맹세하"
  1x  "그 화려한 의복 | 큰 능력으로 걷는 자가"
  1x  "에 견고한 성읍 | 쇠기둥, 놋 성벽이 되"
  1x  "리지 못하는 땅 | 광야에서 어떻게 나를"
  1x  "막과 구덩이 땅 | 건조하고 사망의 음침한"
  1x  "땅 | 사람이 다니지 아니하고"
  1x  "라 여호와의 길 | 자기 하나님의 법을 알"
